Rk,Date,raw_location,Opponent,Result,Drops
2,2018-09-08,@,Stanford,L (3-17),1
3,2018-09-15,@,Texas,L (14-37),1
4,2018-09-21,H,Washington State,W (39-36),1
5,2018-09-29,@,Arizona,W (24-20),1
6,2018-10-13,H,Colorado,W (31-20),3
7,2018-10-20,@,Utah,L (28-41),1
8,2018-10-27,H,Arizona State,L (35-38),1
9,2018-11-03,@,Oregon State,W (38-21),1
10,2018-11-10,H,California,L (14-15),2
11,2018-11-17,@,UCLA,L (27-34),0
12,2018-11-24,H,Notre Dame,L (17-24),0
1,2017-09-02,H,Western Michigan,W (49-31),3
2,2017-09-09,H,Stanford,W (42-24),0
3,2017-09-16,H,Texas,W (27-24),5
4,2017-09-23,@,California,W (30-20),0
5,2017-09-29,@,Washington State,L (27-30),1
6,2017-10-07,H,Oregon State,W (38-10),2
7,2017-10-14,H,Utah,W (28-27),0
8,2017-10-21,@,Notre Dame,L (14-49),1
9,2017-10-28,@,Arizona State,W (48-17),0
10,2017-11-04,H,Arizona,W (49-35),1
11,2017-11-11,@,Colorado,W (38-24),2
12,2017-11-18,H,UCLA,W (28-23),2
13,2017-12-01,H,Stanford,W (31-28),0
14,2017-12-29,@,Ohio State*,L (7-24),0
1,2016-09-03,N,Alabama,L (6-52),1
2,2016-09-10,H,Utah State,W (45-7),1
3,2016-09-17,@,Stanford,L (10-27),2
4,2016-09-23,@,Utah,L (27-31),1
5,2016-10-01,H,Arizona State,W (41-20),1
6,2016-10-08,H,Colorado,W (21-17),2
7,2016-10-15,@,Arizona,W (48-14),1
8,2016-10-27,H,California,W (45-24),1
9,2016-11-05,H,Oregon,W (45-20),2
10,2016-11-12,@,Washington,W (26-13),4
11,2016-11-19,@,UCLA,W (36-14),2
12,2016-11-26,H,Notre Dame,W (45-27),1
13,2017-01-02,N,Penn State*,W (52-49),2
1,2015-09-05,H,Arkansas State,W (55-6),1
2,2015-09-12,H,Idaho,W (59-9),1
3,2015-09-19,H,Stanford,L (31-41),1
4,2015-09-26,@,Arizona State,W (42-14),2
5,2015-10-08,H,Washington,L (12-17),3
6,2015-10-17,@,Notre Dame,L (31-41),1
7,2015-10-24,H,Utah,W (42-24),0
8,2015-10-31,@,California,W (27-21),0
9,2015-11-07,H,Arizona,W (38-30),4
10,2015-11-13,@,Colorado,W (27-24),1
11,2015-11-21,@,Oregon,L (28-48),3
12,2015-11-28,H,UCLA,W (40-21),1
13,2015-12-05,N,Stanford,L (22-41),2
14,2015-12-30,N,Wisconsin*,L (21-23),1
1,2014-08-30,H,Fresno State,W (52-13),4
2,2014-09-06,@,Stanford,W (13-10),1
3,2014-09-13,@,Boston College,L (31-37),3
4,2014-09-27,H,Oregon State,W (35-10),1
5,2014-10-04,H,Arizona State,L (34-38),4
6,2014-10-11,@,Arizona,W (28-26),2
7,2014-10-18,H,Colorado,W (56-28),1
8,2014-10-25,@,Utah,L (21-24),2
9,2014-11-01,@,Washington State,W (44-17),6
10,2014-11-13,H,California,W (38-30),3
11,2014-11-22,@,UCLA,L (20-38),1
12,2014-11-29,H,Notre Dame,W (49-14),0
13,2014-12-27,N,Nebraska*,W (45-42),4
1,2013-08-29,@,Hawaii,W (30-13),NA
2,2013-09-07,H,Washington State,L (7-10),NA
3,2013-09-14,H,Boston College,W (35-7),NA
4,2013-09-21,H,Utah State,W (17-14),NA
5,2013-09-28,@,Arizona State,L (41-62),NA
6,2013-10-10,H,Arizona,W (38-31),NA
7,2013-10-19,@,Notre Dame,L (10-14),NA
8,2013-10-26,H,Utah,W (19-3),NA
9,2013-11-01,@,Oregon State,W (31-14),NA
10,2013-11-09,@,California,W (62-28),NA
11,2013-11-16,H,Stanford,W (20-17),NA
