Rk,Date,School,,Opponent,,Punts,Yds,Avg
1,2023-09-02,Washington,,Boise State,W,5,209,41.8
2,2023-09-09,Washington,,Tulsa,W,0,0,
3,2023-09-16,Washington,@,Michigan State,W,2,63,31.5
4,2023-09-23,Washington,,California,W,2,107,53.5
5,2023-09-30,Washington,@,Arizona,W,2,85,42.5
6,2023-10-14,Washington,,Oregon,W,3,129,43
7,2023-10-21,Washington,,Arizona State,W,3,110,36.7
8,2023-10-28,Washington,@,Stanford,W,5,208,41.6
9,2023-11-04,Washington,@,Southern California,W,0,0,
10,2023-11-11,Washington,,Utah,W,4,162,40.5
11,2023-11-18,Washington,@,Oregon State,W,4,176,44
12,2023-11-25,Washington,,Washington State,W,6,228,38
13,2023-12-01,Washington,N,Oregon,W,1,54,54
14,2024-01-01,Washington,N,Texas*,W,3,108,36
15,2024-01-08,Washington,N,Michigan*,L,5,239,47.8
1,2022-09-03,Washington,,Kent State,W,2,68,34
2,2022-09-10,Washington,,Portland State,W,1,51,51
3,2022-09-17,Washington,,Michigan State,W,3,113,37.7
4,2022-09-24,Washington,,Stanford,W,3,129,43
5,2022-09-30,Washington,@,UCLA,L,1,50,50
6,2022-10-08,Washington,@,Arizona State,L,1,58,58
