Rk,Date,,Opponent,Result
2,2018-09-08,@,Stanford,L (3-17)
3,2018-09-15,@,Texas,L (14-37)
4,2018-09-21,,Washington State,W (39-36)
5,2018-09-29,@,Arizona,W (24-20)
6,2018-10-13,,Colorado,W (31-20)
7,2018-10-20,@,Utah,L (28-41)
8,2018-10-27,,Arizona State,L (35-38)
9,2018-11-03,@,Oregon State,W (38-21)
10,2018-11-10,,California,L (14-15)
11,2018-11-17,@,UCLA,L (27-34)
12,2018-11-24,,Notre Dame,L (17-24)
1,2017-09-02,,Western Michigan,W (49-31)
2,2017-09-09,,Stanford,W (42-24)
3,2017-09-16,,Texas,W (27-24)
4,2017-09-23,@,California,W (30-20)
5,2017-09-29,@,Washington State,L (27-30)
6,2017-10-07,,Oregon State,W (38-10)
7,2017-10-14,,Utah,W (28-27)
8,2017-10-21,@,Notre Dame,L (14-49)
9,2017-10-28,@,Arizona State,W (48-17)
10,2017-11-04,,Arizona,W (49-35)
11,2017-11-11,@,Colorado,W (38-24)
12,2017-11-18,,UCLA,W (28-23)
13,2017-12-01,,Stanford,W (31-28)
14,2017-12-29,@,Ohio State*,L (7-24)
1,2016-09-03,N,Alabama,L (6-52)
2,2016-09-10,,Utah State,W (45-7)
3,2016-09-17,@,Stanford,L (10-27)
4,2016-09-23,@,Utah,L (27-31)
5,2016-10-01,,Arizona State,W (41-20)
6,2016-10-08,,Colorado,W (21-17)
7,2016-10-15,@,Arizona,W (48-14)
8,2016-10-27,,California,W (45-24)
9,2016-11-05,,Oregon,W (45-20)
10,2016-11-12,@,Washington,W (26-13)
11,2016-11-19,@,UCLA,W (36-14)
12,2016-11-26,,Notre Dame,W (45-27)
13,2017-01-02,N,Penn State*,W (52-49)
1,2015-09-05,,Arkansas State,W (55-6)
2,2015-09-12,,Idaho,W (59-9)
3,2015-09-19,,Stanford,L (31-41)
4,2015-09-26,@,Arizona State,W (42-14)
5,2015-10-08,,Washington,L (12-17)
6,2015-10-17,@,Notre Dame,L (31-41)
7,2015-10-24,,Utah,W (42-24)
8,2015-10-31,@,California,W (27-21)
9,2015-11-07,,Arizona,W (38-30)
10,2015-11-13,@,Colorado,W (27-24)
11,2015-11-21,@,Oregon,L (28-48)
12,2015-11-28,,UCLA,W (40-21)
13,2015-12-05,N,Stanford,L (22-41)
14,2015-12-30,N,Wisconsin*,L (21-23)
1,2014-08-30,,Fresno State,W (52-13)
2,2014-09-06,@,Stanford,W (13-10)
3,2014-09-13,@,Boston College,L (31-37)
4,2014-09-27,,Oregon State,W (35-10)
5,2014-10-04,,Arizona State,L (34-38)
6,2014-10-11,@,Arizona,W (28-26)
7,2014-10-18,,Colorado,W (56-28)
8,2014-10-25,@,Utah,L (21-24)
9,2014-11-01,@,Washington State,W (44-17)
10,2014-11-13,,California,W (38-30)
11,2014-11-22,@,UCLA,L (20-38)
12,2014-11-29,,Notre Dame,W (49-14)
13,2014-12-27,N,Nebraska*,W (45-42)
1,2013-08-29,@,Hawaii,W (30-13)
2,2013-09-07,,Washington State,L (7-10)
3,2013-09-14,,Boston College,W (35-7)
4,2013-09-21,,Utah State,W (17-14)
5,2013-09-28,@,Arizona State,L (41-62)
6,2013-10-10,,Arizona,W (38-31)
7,2013-10-19,@,Notre Dame,L (10-14)
8,2013-10-26,,Utah,W (19-3)
9,2013-11-01,@,Oregon State,W (31-14)
10,2013-11-09,@,California,W (62-28)
11,2013-11-16,,Stanford,W (20-17)
12,2013-11-23,@,Colorado,W (47-29)
13,2013-11-30,,UCLA,L (14-35)
14,2013-12-21,N,Fresno State*,W (45-20)
